Recipe_ID,Dish_Name,Cuisine,Meal_Type,Diet_Type,Ingredients,Step_1,Step_2,Step_3,Step_4
11,Spring Rolls,Chinese,Dinner,Vegetarian,"cabbage, carrot, wrap","Step 1: Prepare ingredients by cleaning and chopping: cabbage, carrot.",Step 2: Heat oil in a steamer and bake cabbage for 5 minutes.,"Step 3: Add carrot and wrap to the grill, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
12,Rajma Chawal,Indian,Snack,Gluten-Free,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a skillet and grill kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the wok, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
13,Ratatouille,French,Lunch,Non-Vegetarian,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a pan and blanch zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the wok, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
14,Ramen,Japanese,Snack,Vegan,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
15,Tempura,Japanese,Snack,Vegan,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a grill and sauté shrimp for 5 minutes.,"Step 3: Add flour and egg to the pot, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
16,Ramen,Japanese,Lunch,Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
17,Chow Mein,Chinese,Snack,Gluten-Free,"noodles, vegetables, soy sauce","Step 1: Prepare ingredients by cleaning and chopping: noodles, vegetables.",Step 2: Heat oil in a skillet and boil noodles for 5 minutes.,"Step 3: Add vegetables and soy sauce to the grill, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
18,Ratatouille,French,Breakfast,Gluten-Free,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a saucepan and blanch zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
19,Ratatouille,French,Lunch,Vegetarian,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a pan and simmer zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the pot, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
20,Chili Con Carne,Mexican,Dinner,Non-Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a wok and roast beef for 5 minutes.,"Step 3: Add beans and tomato to the pot, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
21,Tempura,Japanese,Breakfast,Gluten-Free,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a saucepan and fry shrimp for 5 minutes.,"Step 3: Add flour and egg to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
22,Sweet and Sour Pork,Chinese,Dinner,Vegan,"pork, pineapple, pepper","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a saucepan and fry pork for 5 minutes.,"Step 3: Add pineapple and pepper to the skillet, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
23,Lasagna,Italian,Breakfast,Vegetarian,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
24,Buffalo Wings,American,Breakfast,Vegetarian,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a pot and boil chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the oven, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
25,Margherita Pizza,Italian,Snack,Non-Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a oven and bake cheese for 5 minutes.,"Step 3: Add tomato and basil to the pan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
26,Paneer Butter Masala,Indian,Snack,Vegetarian,"paneer, tomato, butter, cumin, cream, ginger, garlic",Step 1: Sauté paneer cubes lightly and set aside.,"Step 2: In a pan, cook onion, tomato puree, and spices in butter.",Step 3: Add cream and simmer the gravy. Add paneer cubes.,Step 4: Cook for 5 minutes. Garnish with coriander leaves and serve with naan.
27,Penne Arrabbiata,Italian,Lunch,Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a steamer and sauté penne for 5 minutes.,"Step 3: Add tomato and garlic to the grill, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
28,Ratatouille,French,Breakfast,Vegetarian,"zucchini, tomato, eggplant, thyme, olive oil, bell pepper","Step 1: Prepare ingredients by cleaning and chopping: zucchini, tomato.",Step 2: Heat oil in a grill and blanch zucchini for 5 minutes.,"Step 3: Add tomato and eggplant to the pan, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
29,Sweet and Sour Pork,Chinese,Dinner,Vegetarian,"pork, pineapple, pepper","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a wok and sauté pork for 5 minutes.,"Step 3: Add pineapple and pepper to the pan, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
30,Penne Arrabbiata,Italian,Lunch,Non-Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a pan and blanch penne for 5 minutes.,"Step 3: Add tomato and garlic to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
31,Lasagna,Italian,Lunch,Non-Vegetarian,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
32,Rajma Chawal,Indian,Lunch,Gluten-Free,"kidney beans, rice, tomato, garam masala, bay leaf, coriander","Step 1: Prepare ingredients by cleaning and chopping: kidney beans, rice.",Step 2: Heat oil in a wok and grill kidney beans for 5 minutes.,"Step 3: Add rice and tomato to the saucepan, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
33,Quesadilla,Mexican,Dinner,Non-Vegetarian,"cheese, tortilla, chicken","Step 1: Prepare ingredients by cleaning and chopping: cheese, tortilla.",Step 2: Heat oil in a oven and blanch cheese for 5 minutes.,"Step 3: Add tortilla and chicken to the steamer, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
34,Green Curry,Thai,Lunch,Gluten-Free,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a oven and sauté coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the grill, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
35,Guacamole Nachos,Mexican,Lunch,Non-Vegetarian,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a pot and simmer avocado for 5 minutes.,"Step 3: Add nachos and onion to the oven, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
36,Chili Con Carne,Mexican,Dinner,Vegan,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a pan and blanch beef for 5 minutes.,"Step 3: Add beans and tomato to the grill, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
37,Chicken Biryani,Indian,Dinner,Vegetarian,"chicken, rice, onion, garam masala, mint, yogurt","Step 1: Marinate chicken with yogurt, spices, and herbs. Let it rest for 30 minutes.","Step 2: In a pot, sauté onions and add marinated chicken. Cook till partially done.","Step 3: Add parboiled basmati rice over chicken, layer with mint and fried onions.",Step 4: Cover and dum cook for 20 minutes on low heat. Serve hot with raita.
38,Chili Con Carne,Mexican,Dinner,Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a steamer and simmer beef for 5 minutes.,"Step 3: Add beans and tomato to the saucepan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
39,Tempura,Japanese,Breakfast,Vegan,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a pan and sauté shrimp for 5 minutes.,"Step 3: Add flour and egg to the skillet, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
40,Spaghetti Carbonara,Italian,Lunch,Vegetarian,"spaghetti, egg, cheese, garlic, black pepper, olive oil","Step 1: Prepare ingredients by cleaning and chopping: spaghetti, egg.",Step 2: Heat oil in a grill and steam spaghetti for 5 minutes.,"Step 3: Add egg and cheese to the skillet, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
41,Pancakes,American,Lunch,Vegan,"flour, egg, milk","Step 1: Prepare ingredients by cleaning and chopping: flour, egg.",Step 2: Heat oil in a saucepan and sauté flour for 5 minutes.,"Step 3: Add egg and milk to the wok, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
42,Tom Yum Soup,Thai,Snack,Vegetarian,"shrimp, lemongrass, mushroom","Step 1: Prepare ingredients by cleaning and chopping: shrimp, lemongrass.",Step 2: Heat oil in a wok and blanch shrimp for 5 minutes.,"Step 3: Add lemongrass and mushroom to the steamer, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
43,Margherita Pizza,Italian,Lunch,Non-Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a saucepan and steam cheese for 5 minutes.,"Step 3: Add tomato and basil to the pan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
44,Lasagna,Italian,Dinner,Gluten-Free,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
45,Teriyaki Chicken,Japanese,Lunch,Vegan,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a steamer and bake chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the oven, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
46,Paneer Butter Masala,Indian,Snack,Vegetarian,"paneer, tomato, butter, cumin, cream, ginger, garlic",Step 1: Sauté paneer cubes lightly and set aside.,"Step 2: In a pan, cook onion, tomato puree, and spices in butter.",Step 3: Add cream and simmer the gravy. Add paneer cubes.,Step 4: Cook for 5 minutes. Garnish with coriander leaves and serve with naan.
47,Pancakes,American,Lunch,Non-Vegetarian,"flour, egg, milk","Step 1: Prepare ingredients by cleaning and chopping: flour, egg.",Step 2: Heat oil in a saucepan and boil flour for 5 minutes.,"Step 3: Add egg and milk to the skillet, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
48,Chili Con Carne,Mexican,Breakfast,Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a skillet and steam beef for 5 minutes.,"Step 3: Add beans and tomato to the saucepan, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
49,Chicken Biryani,Indian,Snack,Non-Vegetarian,"chicken, rice, onion, garam masala, mint, yogurt","Step 1: Marinate chicken with yogurt, spices, and herbs. Let it rest for 30 minutes.","Step 2: In a pot, sauté onions and add marinated chicken. Cook till partially done.","Step 3: Add parboiled basmati rice over chicken, layer with mint and fried onions.",Step 4: Cover and dum cook for 20 minutes on low heat. Serve hot with raita.
50,Green Curry,Thai,Snack,Gluten-Free,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a grill and bake coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the skillet, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
51,Sweet and Sour Pork,Chinese,Breakfast,Vegetarian,"pork, pineapple, pepper","Step 1: Prepare ingredients by cleaning and chopping: pork, pineapple.",Step 2: Heat oil in a saucepan and simmer pork for 5 minutes.,"Step 3: Add pineapple and pepper to the steamer, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
52,Thai Fried Rice,Thai,Snack,Gluten-Free,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a wok and bake rice for 5 minutes.,"Step 3: Add egg and chicken to the grill, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
53,Guacamole Nachos,Mexican,Breakfast,Gluten-Free,"avocado, nachos, onion","Step 1: Prepare ingredients by cleaning and chopping: avocado, nachos.",Step 2: Heat oil in a steamer and simmer avocado for 5 minutes.,"Step 3: Add nachos and onion to the wok, then blanch for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
54,Quiche Lorraine,French,Breakfast,Vegetarian,"egg, cheese, bacon","Step 1: Prepare ingredients by cleaning and chopping: egg, cheese.",Step 2: Heat oil in a grill and simmer egg for 5 minutes.,"Step 3: Add cheese and bacon to the wok, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
55,Teriyaki Chicken,Japanese,Lunch,Non-Vegetarian,"chicken, soy sauce, sugar","Step 1: Prepare ingredients by cleaning and chopping: chicken, soy sauce.",Step 2: Heat oil in a saucepan and roast chicken for 5 minutes.,"Step 3: Add soy sauce and sugar to the skillet, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
56,BBQ Ribs,American,Breakfast,Gluten-Free,"pork, bbq sauce, spices","Step 1: Prepare ingredients by cleaning and chopping: pork, bbq sauce.",Step 2: Heat oil in a saucepan and bake pork for 5 minutes.,"Step 3: Add bbq sauce and spices to the pan, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
57,Buffalo Wings,American,Lunch,Vegan,"chicken, hot sauce, butter","Step 1: Prepare ingredients by cleaning and chopping: chicken, hot sauce.",Step 2: Heat oil in a oven and simmer chicken for 5 minutes.,"Step 3: Add hot sauce and butter to the wok, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and bake until fully cooked. Serve hot."
58,Lasagna,Italian,Breakfast,Vegan,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
59,Tom Yum Soup,Thai,Dinner,Vegetarian,"shrimp, lemongrass, mushroom","Step 1: Prepare ingredients by cleaning and chopping: shrimp, lemongrass.",Step 2: Heat oil in a wok and fry shrimp for 5 minutes.,"Step 3: Add lemongrass and mushroom to the pan, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
60,French Onion Soup,French,Lunch,Vegan,"onion, beef broth, cheese","Step 1: Prepare ingredients by cleaning and chopping: onion, beef broth.",Step 2: Heat oil in a pot and sauté onion for 5 minutes.,"Step 3: Add beef broth and cheese to the skillet, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
61,Chili Con Carne,Mexican,Lunch,Non-Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a pot and steam beef for 5 minutes.,"Step 3: Add beans and tomato to the wok, then boil for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
62,Pad Thai,Thai,Snack,Gluten-Free,"noodles, tofu, peanuts","Step 1: Prepare ingredients by cleaning and chopping: noodles, tofu.",Step 2: Heat oil in a grill and bake noodles for 5 minutes.,"Step 3: Add tofu and peanuts to the pot, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
63,Chicken Biryani,Indian,Lunch,Vegetarian,"chicken, rice, onion, garam masala, mint, yogurt","Step 1: Marinate chicken with yogurt, spices, and herbs. Let it rest for 30 minutes.","Step 2: In a pot, sauté onions and add marinated chicken. Cook till partially done.","Step 3: Add parboiled basmati rice over chicken, layer with mint and fried onions.",Step 4: Cover and dum cook for 20 minutes on low heat. Serve hot with raita.
64,Thai Fried Rice,Thai,Breakfast,Non-Vegetarian,"rice, egg, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, egg.",Step 2: Heat oil in a pan and blanch rice for 5 minutes.,"Step 3: Add egg and chicken to the grill, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
65,Cheeseburger,American,Snack,Non-Vegetarian,"beef, cheese, bun","Step 1: Prepare ingredients by cleaning and chopping: beef, cheese.",Step 2: Heat oil in a skillet and blanch beef for 5 minutes.,"Step 3: Add cheese and bun to the pan, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
66,Tempura,Japanese,Dinner,Vegan,"shrimp, flour, egg","Step 1: Prepare ingredients by cleaning and chopping: shrimp, flour.",Step 2: Heat oil in a pot and fry shrimp for 5 minutes.,"Step 3: Add flour and egg to the saucepan, then simmer for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
67,Ramen,Japanese,Dinner,Non-Vegetarian,"noodles, egg, broth, scallions, miso, soy sauce","Step 1: Boil the noodles separately. In another pot, prepare the broth with soy sauce and miso.",Step 2: Add chopped scallions and let the broth simmer for 10 minutes.,"Step 3: Add cooked noodles to a bowl, pour the hot broth over them.",Step 4: Top with soft-boiled egg and serve steaming hot.
68,Pad Thai,Thai,Lunch,Vegetarian,"noodles, tofu, peanuts","Step 1: Prepare ingredients by cleaning and chopping: noodles, tofu.",Step 2: Heat oil in a grill and roast noodles for 5 minutes.,"Step 3: Add tofu and peanuts to the steamer, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
69,Paneer Butter Masala,Indian,Snack,Gluten-Free,"paneer, tomato, butter, cumin, cream, ginger, garlic",Step 1: Sauté paneer cubes lightly and set aside.,"Step 2: In a pan, cook onion, tomato puree, and spices in butter.",Step 3: Add cream and simmer the gravy. Add paneer cubes.,Step 4: Cook for 5 minutes. Garnish with coriander leaves and serve with naan.
70,Burrito Bowl,Mexican,Breakfast,Vegan,"rice, beans, chicken","Step 1: Prepare ingredients by cleaning and chopping: rice, beans.",Step 2: Heat oil in a pan and steam rice for 5 minutes.,"Step 3: Add beans and chicken to the saucepan, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and fry until fully cooked. Serve hot."
71,Chili Con Carne,Mexican,Lunch,Gluten-Free,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a wok and fry beef for 5 minutes.,"Step 3: Add beans and tomato to the steamer, then roast for 7 minutes.","Step 4: Add remaining items, season as desired, and blanch until fully cooked. Serve hot."
72,Green Curry,Thai,Snack,Non-Vegetarian,"coconut milk, green curry paste, chicken, basil, fish sauce, green chili","Step 1: Prepare ingredients by cleaning and chopping: coconut milk, green curry paste.",Step 2: Heat oil in a steamer and fry coconut milk for 5 minutes.,"Step 3: Add green curry paste and chicken to the oven, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and steam until fully cooked. Serve hot."
73,Lasagna,Italian,Dinner,Vegan,"pasta, cheese, beef, oregano, tomato sauce, garlic","Step 1: Cook the lasagna sheets and prepare a meat sauce with tomatoes, garlic, and beef.","Step 2: In a baking dish, layer pasta, meat sauce, ricotta, and mozzarella cheese.","Step 3: Repeat the layers, finishing with cheese on top.",Step 4: Bake in a preheated oven at 375°F for 30-35 minutes. Let it rest before serving.
74,Chili Con Carne,Mexican,Snack,Vegetarian,"beef, beans, tomato","Step 1: Prepare ingredients by cleaning and chopping: beef, beans.",Step 2: Heat oil in a wok and fry beef for 5 minutes.,"Step 3: Add beans and tomato to the skillet, then bake for 7 minutes.","Step 4: Add remaining items, season as desired, and boil until fully cooked. Serve hot."
75,Penne Arrabbiata,Italian,Snack,Vegetarian,"penne, tomato, garlic","Step 1: Prepare ingredients by cleaning and chopping: penne, tomato.",Step 2: Heat oil in a wok and steam penne for 5 minutes.,"Step 3: Add tomato and garlic to the skillet, then fry for 7 minutes.","Step 4: Add remaining items, season as desired, and grill until fully cooked. Serve hot."
76,Crepes,French,Breakfast,Gluten-Free,"flour, milk, egg","Step 1: Prepare ingredients by cleaning and chopping: flour, milk.",Step 2: Heat oil in a wok and blanch flour for 5 minutes.,"Step 3: Add milk and egg to the grill, then grill for 7 minutes.","Step 4: Add remaining items, season as desired, and sauté until fully cooked. Serve hot."
77,Margherita Pizza,Italian,Dinner,Vegetarian,"cheese, tomato, basil","Step 1: Prepare ingredients by cleaning and chopping: cheese, tomato.",Step 2: Heat oil in a pan and bake cheese for 5 minutes.,"Step 3: Add tomato and basil to the oven, then sauté for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
78,Cheeseburger,American,Breakfast,Gluten-Free,"beef, cheese, bun","Step 1: Prepare ingredients by cleaning and chopping: beef, cheese.",Step 2: Heat oil in a wok and blanch beef for 5 minutes.,"Step 3: Add cheese and bun to the pan, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and roast until fully cooked. Serve hot."
79,French Onion Soup,French,Lunch,Vegan,"onion, beef broth, cheese","Step 1: Prepare ingredients by cleaning and chopping: onion, beef broth.",Step 2: Heat oil in a skillet and bake onion for 5 minutes.,"Step 3: Add beef broth and cheese to the pot, then steam for 7 minutes.","Step 4: Add remaining items, season as desired, and simmer until fully cooked. Serve hot."
